Variable,Bin/Category,WoE,Score Points,Bin_Object
bc_open_to_buy,"(-0.001, 342.0]",-0.27234066903957044,30,
bc_open_to_buy,"(342.0, 986.0]",-0.202038878409479,30,
bc_open_to_buy,"(986.0, 1874.0]",-0.1601402921841975,30,
bc_open_to_buy,"(1874.0, 3000.0]",-0.13586735030823824,31,
bc_open_to_buy,"(3000.0, 4478.0]",-0.09622137399941387,31,
bc_open_to_buy,"(4478.0, 6512.0]",-0.03409677028980623,31,
bc_open_to_buy,"(6512.0, 9577.0]",0.05758777666357265,31,
bc_open_to_buy,"(9577.0, 14601.0]",0.14856810837240564,32,
bc_open_to_buy,"(14601.0, 25042.0]",0.28308110152236193,32,
bc_open_to_buy,"(25042.0, 454843.0]",0.5915946442381107,34,
total_rev_hi_lim,"(-0.001, 8200.0]",-0.15352597574545673,29,
total_rev_hi_lim,"(8200.0, 12100.0]",-0.11567691610513392,30,
total_rev_hi_lim,"(12100.0, 15600.0]",-0.11159666769404834,30,
total_rev_hi_lim,"(15600.0, 19400.0]",-0.11030091106081492,30,
total_rev_hi_lim,"(19400.0, 23800.0]",-0.08998344870664772,30,
total_rev_hi_lim,"(23800.0, 29000.0]",-0.047083206598001054,31,
total_rev_hi_lim,"(29000.0, 35900.0]",-0.001041752916017252,31,
total_rev_hi_lim,"(35900.0, 45900.0]",0.08090365806805715,32,
total_rev_hi_lim,"(45900.0, 64300.0]",0.18399431049278245,33,
total_rev_hi_lim,"(64300.0, 9999999.0]",0.46053687413402,37,
acc_open_past_24mths,"(-0.001, 1.0]",0.4538096432187846,37,
acc_open_past_24mths,"(1.0, 2.0]",0.32142997992233396,35,
acc_open_past_24mths,"(2.0, 3.0]",0.17499271103981834,33,
acc_open_past_24mths,"(3.0, 4.0]",0.04353518239302787,32,
acc_open_past_24mths,"(4.0, 5.0]",-0.045567218179072826,31,
acc_open_past_24mths,"(5.0, 6.0]",-0.13640109585014734,29,
acc_open_past_24mths,"(6.0, 7.0]",-0.2225085030565359,28,
acc_open_past_24mths,"(7.0, 9.0]",-0.3305915747392823,27,
acc_open_past_24mths,"(9.0, 64.0]",-0.5281041771370023,25,
mo_sin_rcnt_tl,"(-0.001, 1.0]",-0.2552901392536635,31,
mo_sin_rcnt_tl,"(1.0, 2.0]",-0.17721385312272958,31,
mo_sin_rcnt_tl,"(2.0, 3.0]",-0.13254921392929978,31,
mo_sin_rcnt_tl,"(3.0, 4.0]",-0.07062018747363775,31,
mo_sin_rcnt_tl,"(4.0, 5.0]",-0.03171227495000107,31,
mo_sin_rcnt_tl,"(5.0, 7.0]",0.0037059930445739017,31,
mo_sin_rcnt_tl,"(7.0, 9.0]",0.08774239080630322,31,
mo_sin_rcnt_tl,"(9.0, 11.0]",0.14205456215347467,31,
mo_sin_rcnt_tl,"(11.0, 16.0]",0.22777984521553038,32,
mo_sin_rcnt_tl,"(16.0, 314.0]",0.4524962602216541,32,
mths_since_recent_bc,"(-0.001, 3.0]",-0.20148898834721415,30,
mths_since_recent_bc,"(3.0, 5.0]",-0.11898015259511326,30,
mths_since_recent_bc,"(5.0, 7.0]",-0.11238191546342743,30,
mths_since_recent_bc,"(7.0, 10.0]",-0.07209495153728203,31,
mths_since_recent_bc,"(10.0, 13.0]",-0.061133194510554614,31,
mths_since_recent_bc,"(13.0, 17.0]",-0.04370667394996025,31,
mths_since_recent_bc,"(17.0, 24.0]",0.05596594072543512,32,
mths_since_recent_bc,"(24.0, 34.0]",0.11680940683924361,32,
mths_since_recent_bc,"(34.0, 58.0]",0.1890061636070462,33,
mths_since_recent_bc,"(58.0, 639.0]",0.39600232300316884,34,
percent_bc_gt_75,"(-inf, 20.0]",0.22014079115243462,31,
percent_bc_gt_75,"(20.0, 33.3]",0.07648116823496827,31,
percent_bc_gt_75,"(33.3, 50.0]",-0.02152428550477186,31,
percent_bc_gt_75,"(50.0, 66.7]",-0.09824847643887415,31,
percent_bc_gt_75,"(66.7, inf]",-0.20302103462720028,31,
annual_inc,"(3599.999, 34847.616]",-0.22683391672519465,28,
annual_inc,"(34847.616, 42000.0]",-0.17632388712285962,29,
annual_inc,"(42000.0, 50000.0]",-0.12606872370423083,29,
annual_inc,"(50000.0, 57296.2]",-0.08895321302190604,30,
annual_inc,"(57296.2, 65000.0]",-0.05947142019032002,30,
annual_inc,"(65000.0, 75000.0]",0.008132249725252852,31,
annual_inc,"(75000.0, 85000.0]",0.05589789253100945,32,
annual_inc,"(85000.0, 100000.0]",0.14833407627248132,33,
annual_inc,"(100000.0, 125487.6]",0.24430367373266665,34,
annual_inc,"(125487.6, 9550000.0]",0.36390325341790514,36,
num_actv_rev_tl,"(-0.001, 2.0]",0.25357440346292714,34,
num_actv_rev_tl,"(2.0, 3.0]",0.1861131805231424,33,
num_actv_rev_tl,"(3.0, 4.0]",0.1051524419308266,32,
num_actv_rev_tl,"(4.0, 5.0]",0.03236158665507418,31,
num_actv_rev_tl,"(5.0, 6.0]",-0.04358713840999444,31,
num_actv_rev_tl,"(6.0, 7.0]",-0.07845043792192694,30,
num_actv_rev_tl,"(7.0, 8.0]",-0.1593448970505396,30,
num_actv_rev_tl,"(8.0, 10.0]",-0.20208049149612758,29,
num_actv_rev_tl,"(10.0, 52.0]",-0.3528307361034052,28,
avg_cur_bal,"(-inf, 4995.0]",-0.17092168064585367,29,
avg_cur_bal,"(4995.0, 10788.0]",-0.10601447390663771,30,
avg_cur_bal,"(10788.0, 15398.0]",0.04945500060446144,32,
avg_cur_bal,"(15398.0, 21403.0]",0.16343183075805043,33,
avg_cur_bal,"(21403.0, 31441.0]",0.3127531914346693,35,
avg_cur_bal,"(31441.0, inf]",0.5270362685236938,38,
fico_score,"(661.999, 667.0]",-0.3247616686413977,28,
fico_score,"(667.0, 672.0]",-0.23772677944411078,29,
fico_score,"(672.0, 677.0]",-0.20814017470149573,29,
fico_score,"(677.0, 682.0]",-0.1743116659228475,30,
fico_score,"(682.0, 687.0]",-0.07630539884657415,31,
fico_score,"(687.0, 697.0]",-0.014523729476211243,31,
fico_score,"(697.0, 707.0]",0.12468226992740354,32,
fico_score,"(707.0, 717.0]",0.29052279270513576,34,
fico_score,"(717.0, 737.0]",0.4636460908478329,35,
fico_score,"(737.0, 847.5]",0.9188102808774121,39,
mort_acc,"(-0.001, 1.0]",-0.14383676551819188,29,
mort_acc,"(1.0, 2.0]",0.11205422823639989,33,
mort_acc,"(2.0, 3.0]",0.19567032732007586,35,
mort_acc,"(3.0, 4.0]",0.2649567084674311,36,
mort_acc,"(4.0, 51.0]",0.3690583786108802,37,
dti,"(-1.001, 7.66]",0.3978927805246227,36,
dti,"(7.66, 10.87]",0.3530153171803134,36,
dti,"(10.87, 13.4]",0.25298654739328286,34,
dti,"(13.4, 15.73]",0.1571930565919369,33,
dti,"(15.73, 18.04]",0.0845399318573804,32,
dti,"(18.04, 20.44]",0.023062584850126966,31,
dti,"(20.44, 23.1]",-0.07438558039507023,30,
dti,"(23.1, 26.23]",-0.1792209981090786,29,
dti,"(26.23, 30.29]",-0.29450715946959877,27,
dti,"(30.29, 49.96]",-0.5034685117531198,25,
loan_amnt,"(-inf, 9000.0]",0.2662862251083965,36,
loan_amnt,"(9000.0, 15000.0]",-0.03134242207029402,31,
loan_amnt,"(15000.0, 28000.0]",-0.1532197697506135,28,
loan_amnt,"(28000.0, inf]",-0.20472033905001424,27,
mths_since_recent_inq,"(-0.001, 1.0]",-0.20138423247442536,29,
mths_since_recent_inq,"(1.0, 2.0]",-0.1070629859642115,30,
mths_since_recent_inq,"(2.0, 4.0]",-0.04486161662705296,31,
mths_since_recent_inq,"(4.0, 5.0]",0.011641498425518738,31,
mths_since_recent_inq,"(5.0, 7.0]",0.046942598933809004,32,
mths_since_recent_inq,"(7.0, 9.0]",0.07511723700223755,32,
mths_since_recent_inq,"(9.0, 12.0]",0.12287818146991862,32,
mths_since_recent_inq,"(12.0, 16.0]",0.18823715209723557,33,
mths_since_recent_inq,"(16.0, 25.0]",0.2830983668627177,34,
inq_last_6mths,"(-0.001, 1.0]",0.061257795986273525,31,
inq_last_6mths,"(1.0, 2.0]",-0.26423989361653455,30,
inq_last_6mths,"(2.0, 6.0]",-0.42493271232814533,30,
mo_sin_old_rev_tl_op,"(-inf, 127.0]",-0.18652111943519065,30,
mo_sin_old_rev_tl_op,"(127.0, 146.0]",-0.05240751643575978,31,
mo_sin_old_rev_tl_op,"(146.0, 166.0]",0.021179281708771366,31,
mo_sin_old_rev_tl_op,"(166.0, 188.0]",0.06606952565882197,32,
mo_sin_old_rev_tl_op,"(188.0, 216.0]",0.08587652098154548,32,
mo_sin_old_rev_tl_op,"(216.0, inf]",0.16895222015867992,32,
grade,A,1.4001033316589406,55,A
grade,B,0.4997686404929766,40,B
grade,C,-0.13068900910143255,29,C
grade,D,-0.5802216565285834,21,D
grade,E,-0.9694432882831138,15,E
grade,F,-1.271883554679661,10,F
grade,G,-1.4808372939152101,6,G
term, 36 months,0.29690383491955696,36, 36 months
term, 60 months,-0.7188223797669929,19, 60 months
verification_status,Not Verified,0.3934045827281406,34,Not Verified
verification_status,Source Verified,-0.04732352273348077,31,Source Verified
verification_status,Verified,-0.2508502191969331,29,Verified
